ra,dec
348.07312,-6.17691
348.07348,-6.17679
348.07384,-6.17667
348.07420,-6.17655
348.07456,-6.17643
348.07492,-6.17631
348.07527,-6.17619
348.07563,-6.17607
348.07598,-6.17595
348.07634,-6.17583
348.07669,-6.17571
348.07704,-6.17559
348.07739,-6.17548
348.07775,-6.17536
348.07810,-6.17524
348.07844,-6.17512
348.07879,-6.17501
348.07914,-6.17489
348.07949,-6.17477
348.07983,-6.17466
348.08018,-6.17454
348.08052,-6.17443
348.08087,-6.17431
348.08121,-6.17420
348.08155,-6.17408
348.08189,-6.17397
348.08223,-6.17386
348.08257,-6.17374
348.08291,-6.17363
348.08325,-6.17352
348.08359,-6.17341
348.08392,-6.17330
348.08426,-6.17318
348.08459,-6.17307
348.08492,-6.17296
348.08526,-6.17285
348.08559,-6.17274
348.08592,-6.17263
348.08625,-6.17252
348.08658,-6.17241
348.08691,-6.17230
348.08724,-6.17220
348.08757,-6.17209
348.08789,-6.17198
348.08822,-6.17187
348.08854,-6.17177
348.08887,-6.17166
348.08919,-6.17155
348.08951,-6.17145
348.08983,-6.17134
348.09015,-6.17124
348.09047,-6.17113
348.09079,-6.17103
348.09111,-6.17092
348.09143,-6.17082
348.09175,-6.17071
348.09206,-6.17061
348.09238,-6.17051
348.09269,-6.17041
348.09300,-6.17030
348.09332,-6.17020
348.09363,-6.17010
348.09394,-6.17000
348.09425,-6.16990
348.09456,-6.16980
348.09487,-6.16970
348.09518,-6.16960
348.09548,-6.16950
348.09579,-6.16940
348.09609,-6.16930
348.09640,-6.16920
348.09670,-6.16910
348.09701,-6.16900
348.09731,-6.16891
348.09761,-6.16881
348.09791,-6.16871
348.09821,-6.16861
348.09851,-6.16852
348.09881,-6.16842
348.09910,-6.16833
348.09940,-6.16823
348.09969,-6.16814
348.09999,-6.16804
348.10028,-6.16795
348.10058,-6.16785
348.10087,-6.16776
348.10116,-6.16767
348.10145,-6.16757
348.10174,-6.16748
348.10203,-6.16739
348.10232,-6.16730
348.10261,-6.16721
348.10289,-6.16711
348.10318,-6.16702
348.10346,-6.16693
348.10375,-6.16684
348.10403,-6.16675
348.10431,-6.16666
348.10459,-6.16657
348.10487,-6.16648
348.10515,-6.16640
348.10543,-6.16631
348.10571,-6.16622
348.10599,-6.16613
348.10627,-6.16605
348.10654,-6.16596
348.10682,-6.16587
348.10709,-6.16579
348.10737,-6.16570
348.10764,-6.16561
348.10791,-6.16553
348.10818,-6.16544
348.10845,-6.16536
348.10872,-6.16528
348.10899,-6.16519
348.10926,-6.16511
348.10952,-6.16503
348.10979,-6.16494
348.11006,-6.16486
348.11032,-6.16478
348.11058,-6.16470
348.11085,-6.16462
348.11111,-6.16453
348.11137,-6.16445
348.11163,-6.16437
348.11189,-6.16429
348.11215,-6.16421
348.11241,-6.16413
348.11266,-6.16406
348.11292,-6.16398
348.11318,-6.16390
348.11343,-6.16382
348.11368,-6.16374
348.11394,-6.16366
348.11419,-6.16359
348.11444,-6.16351
348.11469,-6.16344
348.11494,-6.16336
348.11519,-6.16328
348.11544,-6.16321
348.11569,-6.16313
348.11593,-6.16306
348.11618,-6.16298
348.11642,-6.16291
348.11667,-6.16284
348.11691,-6.16276
348.11715,-6.16269
348.11739,-6.16262
348.11763,-6.16255
348.11787,-6.16247
348.11811,-6.16240
348.11835,-6.16233
348.11859,-6.16226
348.11882,-6.16219
348.11906,-6.16212
348.11930,-6.16205
348.11953,-6.16198
348.11976,-6.16191
348.12000,-6.16184
348.12023,-6.16177
348.12046,-6.16171
348.12069,-6.16164
348.12092,-6.16157
348.12115,-6.16150
348.12137,-6.16144
348.12160,-6.16137
348.12183,-6.16130
348.12205,-6.16124
348.12228,-6.16117
348.12250,-6.16111
348.12272,-6.16104
348.12294,-6.16098
348.12316,-6.16091
348.12338,-6.16085
348.12360,-6.16079
348.12382,-6.16072
348.12404,-6.16066
348.12426,-6.16060
348.12447,-6.16054
348.12469,-6.16047
348.12490,-6.16041
348.12512,-6.16035
348.12533,-6.16029
348.12554,-6.16023
348.12575,-6.16017
348.12596,-6.16011
348.12617,-6.16005
348.12638,-6.15999
348.12659,-6.15993
348.12680,-6.15987
348.12700,-6.15982
348.12721,-6.15976
348.12741,-6.15970
348.12762,-6.15964
348.12782,-6.15959
348.12802,-6.15953
348.12822,-6.15947
348.12842,-6.15942
348.12862,-6.15936
348.12882,-6.15931
348.12902,-6.15925
348.12922,-6.15920
348.12941,-6.15915
348.12961,-6.15909
348.12980,-6.15904
348.13000,-6.15899
348.13019,-6.15893
348.13038,-6.15888
348.13057,-6.15883
348.13076,-6.15878
348.13095,-6.15873
348.13114,-6.15867
348.13133,-6.15862
348.13152,-6.15857
348.13170,-6.15852
348.13189,-6.15847
348.13207,-6.15842
348.13226,-6.15838
348.13244,-6.15833
348.13262,-6.15828
348.13281,-6.15823
348.13299,-6.15818
348.13317,-6.15814
348.13335,-6.15809
348.13352,-6.15804
348.13370,-6.15800
348.13388,-6.15795
348.13405,-6.15790
348.13423,-6.15786
348.13440,-6.15781
348.13458,-6.15777
348.13475,-6.15772
348.13492,-6.15768
348.13509,-6.15764
348.13526,-6.15759
348.13543,-6.15755
348.13560,-6.15751
348.13577,-6.15747
348.13593,-6.15742
348.13610,-6.15738
348.13627,-6.15734
348.13643,-6.15730
348.13659,-6.15726
348.13676,-6.15722
348.13692,-6.15718
348.13708,-6.15714
348.13724,-6.15710
348.13740,-6.15706
348.13756,-6.15703
348.13771,-6.15699
348.13787,-6.15695
348.13803,-6.15691
348.13818,-6.15687
348.13834,-6.15684
348.13849,-6.15680
348.13864,-6.15677
348.13880,-6.15673
348.13895,-6.15669
348.13910,-6.15666
348.13925,-6.15662
348.13940,-6.15659
348.13954,-6.15656
348.13969,-6.15652
348.13984,-6.15649
348.13998,-6.15646
348.14013,-6.15642
