ra,dec
190.652374,1.38959
182.184265,-0.54078
190.588623,2.06668
191.39212,-8.09174
190.496628,-3.5834
188.758133,1.79862
191.031982,-7.03559
192.676849,-2.82536
182.6483,-0.171494
189.951599,-2.79608
191.167892,1.84861
181.4487,-2.99872
190.911194,0.547135
188.895935,1.89371
191.267593,-8.39593
191.419678,1.9753
180.596176,-3.30631
191.082001,0.7466
190.664154,-2.87827
180.696365,-2.15563
189.693665,0.322554
182.242676,-2.40323
187.31192,-3.61543
187.066208,2.70084
183.864975,-2.42958
188.404953,-10.6046
185.672562,-7.19487
190.607025,0.946903
188.436874,-4.82348
189.806442,1.44306
191.102249,-7.31803
190.81749,-0.636129
191.435791,1.62225
192.270477,-8.65716
191.116516,-1.6346
189.968781,0.125504
188.460373,1.87932
188.761917,-3.67863
189.767639,0.971208
185.94931,2.80754
191.34169,0.354186
187.935394,-1.01062
190.576218,-5.78501
180.516617,-3.49722
188.654297,1.9124
182.016052,0.37879
188.898727,1.77528
188.275146,0.778332
192.24971,-1.15983
181.011551,-5.16207
184.306458,3.28145
187.993286,-2.4928
185.976028,3.08492
180.403168,-2.02146
190.889832,1.81028
191.017349,-1.72243
185.216019,-2.08576
193.574326,-2.58899
185.739441,-3.51302
183.51651,-0.0696591
181.527237,0.0886549
188.817566,-4.80908
189.59227,1.67918
189.598892,-0.966718
185.916092,1.3238
191.709488,-2.29908
192.479065,-1.35679
182.866043,-3.43367
190.134247,-5.1919
187.243561,2.1909
184.667679,-0.256448
187.796066,0.606261
189.451218,-1.34486
190.49614,-1.17884
191.330582,-8.14606
181.181046,-3.55138
191.002548,-1.63685
192.621704,-8.96854
180.754242,-0.291148
185.695969,-9.98028
184.204605,-0.741778
186.566864,-3.73066
182.741745,0.603944
182.39682,-0.912443
180.24881,-1.77625
192.439743,-3.21203
192.308701,-1.68738
185.26741,1.74465
190.050873,0.695694
183.764374,0.488561
180.931137,-3.07212
190.960449,-7.18958
180.615753,-1.13254
187.643478,1.27346
187.614441,-1.43176
191.613113,0.478753
185.532532,1.03915
181.789795,-1.25252
188.616547,-3.2697
192.835953,-0.905924
194.086319,-1.56877
190.22348,1.00837
191.696259,-2.29364
189.084351,-1.1203
184.839859,-0.689415
188.041046,-2.40204
182.37912,-0.436571
193.568298,-2.03456
190.103622,1.03518
191.273499,0.832172
181.43631,-3.07114
183.578171,-2.50765
184.897781,-2.83064
183.477478,-5.50539
189.531433,1.64958
185.238068,-2.90267
186.358749,-3.70823
181.392944,-6.93361
192.121826,-8.52483
180.937271,-1.38042
189.423096,-1.36058
188.646301,-10.6506
184.913651,-0.75084
193.621277,-2.60717
189.332077,-9.51693
189.738312,-0.862482
184.572388,2.17921
191.582489,0.580336
183.541061,-6.55314
190.060394,-5.39155
193.627991,-3.32251
189.815796,1.95409
182.967163,-2.47403
193.700974,-3.17535
188.948441,-0.965848
185.485474,2.96736
186.098984,-0.692975
181.079483,-0.315495
184.723145,2.99227
190.722717,-3.93537
183.519226,0.446405
191.827942,-7.58685
193.528259,-2.45595
190.525436,-5.13111
188.82608,-5.33897
180.962906,-3.70958
190.220276,-5.40034
191.73436,-2.20019
182.432205,-8.29776
183.805679,-7.18183
188.704651,2.37492
183.370209,-7.09843
180.830856,-3.92952
188.319046,2.14892
189.4021,1.58891
190.428787,-1.53358
188.521988,0.481056
189.667953,1.79966
180.75531,-1.91398
193.346497,-3.13559
186.204758,2.55149
191.156158,1.80676
185.338043,1.90791
182.41864,-7.33093
189.280411,-4.51762
188.098434,-1.7401
185.510132,1.39504
190.77063,2.11777
182.476898,-0.918151
190.533417,0.550245
189.940674,0.898288
189.902985,-4.08145
190.082031,1.05981
184.265228,3.26705
184.688843,-5.52719
192.710526,-1.5921
186.981598,1.38737
184.176895,-5.75704
191.257385,-6.50096
190.084076,-4.41803
187.478836,-3.68269
191.486465,1.79997
191.332352,0.470651
191.134689,-7.10288
182.016495,0.697681
187.384659,1.10249
186.700455,-3.0568
192.873871,-1.8385
191.629242,-7.85471
192.418701,-2.91183
190.946045,1.44998
181.842621,-3.12379
182.936172,-4.27774
180.804764,-6.90201
180.693832,0.367666
185.054749,-3.27713
183.729462,2.03375
191.108398,1.19637
191.157181,-1.61607
180.276718,-6.83837
183.922729,-7.17747
184.668259,-3.74044
188.459915,2.2794
193.098053,-2.09169
186.759033,-3.53052
185.790649,1.7886
188.258743,-1.54051
193.690964,-2.05405
182.551956,0.384299
192.19696,-7.44176
192.319305,-8.2983
183.299286,-9.67649
190.105362,-1.11752
192.45549,-8.23237
189.50621,-2.66638
192.249985,-1.92699
183.361862,-0.096691
191.472778,-8.19
191.741959,-6.98972
189.378708,-1.72991
182.27002,-0.568178
193.190323,-2.51018
184.534515,-3.75078
187.318359,-1.06206
187.822693,-3.59174
190.292969,-5.73167
190.69252,0.539884
193.873093,-2.73784
186.022812,-5.88984
186.58226,1.72438
181.551132,-4.01725
188.254395,1.74535
180.692047,-1.79235
183.811981,-0.881209
184.632202,-4.87881
184.799515,-3.31899
193.369461,-2.12519
182.190277,-3.35247
189.642197,-4.57916
183.758102,-6.72896
187.807266,-3.09995
187.221344,2.47604
191.419952,1.85811
188.954788,1.86955
191.592926,0.422812
183.334915,-7.08465
182.114594,-3.67393
181.116516,0.698018
191.822952,-8.01721
188.53746,-10.6026
187.940765,-1.5294
184.707336,-1.04689
191.778503,-7.84054
182.904495,-3.72746
191.744766,-8.70975
183.520523,-0.894106
191.038452,1.61953
191.751099,-7.85762
187.874039,-9.87712
183.474014,-1.2314
184.365829,-0.780445
190.68396,-4.82204
183.758194,-6.75088
180.857803,-5.81296
182.235535,-3.4099
181.405685,-5.83013
186.007477,2.18556
190.976257,-7.31374
189.842743,-5.66474
191.539169,0.706208
191.610397,0.522653
183.123123,-2.6786
188.005341,-10.1441
186.962753,-2.21447
184.514359,-0.913056
188.634628,-3.42828
181.995026,-8.52065
190.485764,1.90788
189.308411,-9.6729
191.231277,1.89847
183.759064,-8.13207
181.901566,-1.55413
182.330048,-9.49219
185.842331,-5.75801
193.779144,-2.82327
183.988297,3.18938
186.188873,-6.65259
184.991211,-0.855975
185.754639,2.45293
190.301788,-0.756754
181.458466,-0.184443
193.902237,-1.51224
186.076523,1.81972
184.188095,-3.20642
189.441116,-1.23812
194.10498,-1.70789
190.388718,-4.80714
188.765732,1.78557
191.340729,1.83062
187.877762,-1.35815
188.794922,-3.62672
191.070847,-7.18504
180.941849,-3.04127
188.52771,0.481167
182.333908,-6.60857
190.015259,-0.879773
180.491821,-0.320084
192.272827,-1.68773
190.362076,-1.44906
189.979538,1.63575
185.546646,-0.145684
182.740799,-8.96554
188.248596,-0.699509
184.947372,3.12571
