name,ra,dec
KSN 2018L,13:37:19.20,-01:17:46.70
KSN 2018M,13:16:05.00,-14:03:29.10
KSN 2018N,13:18:42.77,-00:45:44.00
KSN 2018O,13:35:31.23,-14:21:05.21
KSN 2018P,13:10:36.39,-04:29:08.67
KSN 2018Q,13:19:59.39,-10:28:49.12
KSN 2018R,13:33:44.41,-04:39:19.9
KSN 2018S,13:47:35.70,-05:20:31.5
KSN 2018T,13:25:49.07,-07:06:28.06
KSN 2018U,13:47:18.69,-05:39:00.42
KSN 2018V,13:55:04.40,-08:31:46.87
KSN 2018W,13:22:18.80 ,-01:52:52.00
KSN 2018X,13:42:46.26 ,-12:47:47
KSN 2018Y,13:29:40.26 ,-04:41:19.0
KSN 2018Z,13:23:27.54,-01:35:34.0
KSN 2018aa,13:51:43.22,-09:23:27.52
KSN 2018ac,13:12:31.165,-10:54:45.74
KSN 2018ad,13:10:30.616,-03:20:31.75
KSN 2018ae,13:37:33.10,-01:14:23.00
KSN 2018af,13:29:55.96,-09:47:38.91
KSN 2018ag,13:24:38.21,-02:34:50.33
KSN 2018ah,13:34:33.57,-13:25:48.01
KSN 2018ai,13:54:32.44,-06:13:37.64
KSN 2018aj,13:53:19.29,-04:51:34.65
KSN 2018ak,13:15:29.07,-13:19:31.16
KSN 2018al,13:13:08.51,-12:49:12.92
KSN 2018am,13:42:11.37,-13:31:44.51
KSN 2018an,13:34:41.12,-08:14:00.29
KSN 2018ao,13:37:17.25,-07:45:46.21
