ra,dec
 207.8864136, -18.5005035
 208.1248474, -18.4776573
 207.4458466, -18.4278145
 207.4154663, -18.4105682
 207.1029053, -18.4075165
 206.288681, -18.3515263
 207.0786285, -18.3395729
 206.9982147, -18.3372192
 206.9917755, -18.3275719
 207.8026581, -18.3217583
 206.853714, -18.2878609
 207.6878662, -18.2559433
 206.7443237, -18.2374706
 206.6702728, -18.2059784
 207.116745, -18.1813469
 208.0936737, -18.1668053
 204.2991486, -18.139389
 206.8866119, -18.1275558
 206.7971802, -18.1201687
 206.7232056, -18.1198483
 204.2088776, -18.0895596
 203.78302, -18.0757198
 206.5143738, -18.0687752
 207.4747467, -18.0677261
 203.83815, -18.0605526
 207.1910248, -18.0501156
 203.8385468, -18.0448227
 207.3349762, -18.0369987
 203.8591156, -18.0313416
 206.3269348, -18.0237713
 204.7295227, -18.0094833
 207.2925873, -18.0084267
 206.0024261, -17.9581661
 204.0232239, -17.9387264
 203.4503937, -17.9199772
 206.1042328, -17.9186363
 203.3448639, -17.9000092
 204.9976807, -17.8976574
 207.8609924, -17.8889141
 203.4035492, -17.8852196
 207.9360657, -17.8778191
 202.7764282, -17.8733959
 208.1707916, -17.8563404
 201.984436, -17.8444576
 204.6428375, -17.8323021
 207.7602997, -17.8138962
 207.8247986, -17.8116417
 207.1628113, -17.8081779
 206.0904694, -17.7979908
 208.0425415, -17.7891331
 206.9628754, -17.7561512
 203.5687561, -17.738718
 208.2333679, -17.7375984
 203.4896698, -17.7304649
 204.5175781, -17.7296715
 207.4620819, -17.7271328
 206.9232635, -17.7158947
 206.0519714, -17.7073689
 207.0142365, -17.6950722
 203.2588501, -17.6933575
 204.3188782, -17.6910038
 204.6189575, -17.677393
 203.2144012, -17.6689472
 201.3191833, -17.6628456
 202.8891449, -17.6530495
 206.6138763, -17.6419048
 201.3438263, -17.6410427
 207.0866089, -17.6400852
 206.0383759, -17.6381512
 200.916275, -17.637867
 206.6968231, -17.631361
 206.9323425, -17.6268272
 201.4983978, -17.6249199
 206.7592468, -17.6233997
 200.8856354, -17.6222649
 200.9474792, -17.6206207
 201.3834076, -17.6171932
 200.55336, -17.6077785
 200.574234, -17.6040859
 200.5520477, -17.6038799
 206.067215, -17.6030922
 204.7581787, -17.6013031
 203.2379913, -17.5968094
 200.6342926, -17.5946598
 207.1483917, -17.5897751
 204.2449036, -17.5834332
 200.6213226, -17.5790443
 204.1291809, -17.573122
 203.7157898, -17.568367
 206.7874603, -17.5543633
 204.2427979, -17.553236
 206.7704773, -17.5463696
 202.0360718, -17.5400524
 208.0423126, -17.5374222
 201.7101593, -17.5370579
 200.8288269, -17.5340157
 204.8990326, -17.5156898
 204.916153, -17.5151787
 200.302597, -17.509798
 204.9715729, -17.5073109
 204.0748901, -17.4993668
 200.3703308, -17.49897
 200.2384338, -17.4943371
 199.8743591, -17.4893093
 201.4745483, -17.4813099
 201.0244598, -17.4687634
 206.6017151, -17.4659748
 204.8065948, -17.4564438
 201.6660919, -17.4492073
 200.4902954, -17.4489155
 207.4857483, -17.4406433
 203.5466461, -17.4258289
 204.7595825, -17.4222622
 200.2608185, -17.4153805
 204.0756531, -17.4138851
 206.9970245, -17.4058723
 200.5316315, -17.4020958
 206.5642395, -17.3813305
 199.7970276, -17.3790569
 201.3891754, -17.3674583
 200.5653229, -17.3606434
 205.0660858, -17.3502369
 207.8596497, -17.3475933
 201.6903381, -17.3460598
 203.3706207, -17.3424244
 201.6516418, -17.3378048
 201.1703949, -17.3369637
 208.256012, -17.3311024
 201.467453, -17.3207302
 208.1660156, -17.2953815
 203.4386902, -17.2540741
 200.4077606, -17.2505074
 206.8820801, -17.2496452
 203.8255615, -17.2482052
 204.2377777, -17.2261009
 206.8516235, -17.1978569
 200.6391754, -17.1949158
 204.5027924, -17.1819057
 207.4454041, -17.1598301
 206.7129211, -17.1590004
 204.5517426, -17.1587524
 199.9950104, -17.1539116
 206.3611145, -17.0859356
 208.2277222, -17.0674286
 206.9085083, -17.0667858
 199.829361, -17.0613747
 205.9709473, -17.0438633
 201.0144958, -17.0404282
 206.0442047, -17.0385876
 206.279541, -17.038393
 199.9599762, -17.0341339
 206.2220001, -17.0329571
 202.9699097, -17.0262814
 199.8830414, -17.021225
 206.1903534, -17.0203876
 206.1105194, -17.0191917
 200.4298248, -17.0129128
 203.3630829, -17.0057487
 207.3820648, -16.9997463
 199.9276733, -16.9925594
 200.1811218, -16.9804649
 203.6471558, -16.9766598
 201.0500793, -16.9766083
 207.5357513, -16.9733677
 200.9024963, -16.9725761
 200.8619995, -16.9668026
 200.1887817, -16.9527454
 199.857132, -16.9330692
 200.8102722, -16.9240341
 208.3013763, -16.9119263
 200.1598511, -16.9112797
 203.8523102, -16.8780708
 200.0196838, -16.8749886
 200.0970001, -16.8729458
 200.0970917, -16.8638859
 207.1199799, -16.8579006
 206.7678375, -16.8561497
 202.1674957, -16.8554668
 206.7502594, -16.8548546
 204.4938507, -16.8545685
 204.2777405, -16.8526192
 207.7601471, -16.8405457
 201.0038147, -16.8379002
 201.3975525, -16.8336678
 207.1460114, -16.8330765
 200.9660034, -16.8196507
 204.8730469, -16.8195839
 206.7019348, -16.8191891
 206.7216949, -16.8183479
 206.527298, -16.8181534
 207.0536957, -16.8178139
 207.3429413, -16.8146496
 205.1107635, -16.7894573
 200.3933716, -16.7812958
 201.2861328, -16.7755661
 207.5854645, -16.7577381
 201.4347076, -16.754015
 200.5615692, -16.7400265
 207.1737366, -16.7372208
