,ra,st_raerr,st_rah,st_raherr,ra_str,dec,st_decerr,dec_str,st_glon,st_glonerr,st_glat,st_glaterr,st_elon,st_elonerr,st_elat,st_elaterr,st_posn,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_plxn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,st_pmn,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvn,st_uj,st_ujerr,st_ujlim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_rc,st_rcerr,st_rclim,st_ic,st_icerr,st_iclim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_irac1,st_irac1err,st_irac1lim,st_irac2,st_irac2err,st_irac2lim,st_irac3,st_irac3err,st_irac3lim,st_irac4,st_irac4err,st_irac4lim,st_mips1,st_mips1err,st_mips1lim,st_mips2,st_mips2err,st_mips2lim,st_mips3,st_mips3err,st_mips3lim,st_iras1,st_iras1err,st_iras1lim,st_iras2,st_iras2err,st_iras2lim,st_iras3,st_iras3err,st_iras3lim,st_iras4,st_iras4err,st_iras4lim,st_optmag,st_optmagerr,st_optmaglim,st_optband,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_bmvj,st_bmvjerr,st_bmvjlim,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,st_bmy,st_bmyerr,st_bmylim,st_m1,st_m1err,st_m1lim,st_c1,st_c1err,st_c1lim,st_colorn,st_spstr,st_ssperr,st_splim,st_spn,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggn,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfen,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_dens,st_denserr1,st_denserr2,st_denslim,st_densn,st_age,st_ageerr1,st_ageerr2,st_agelim,st_agen,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsinin,st_acts,st_actserr,st_actslim,st_actsn,st_actr,st_actrerr,st_actrlim,st_actrn,st_actlx,st_actlxerr,st_actlxlim,st_actlxn,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,hd_name,hip_name,swasp_id,pl_name,pl_hostname,pl_letter,pl_pnum,pl_snum,pl_mnum,pl_status,pl_discmethod,pl_disc,pl_disc_refname,pl_publ_date,pl_facility,pl_telescope,pl_instrument,pl_locale,pl_def_refname,pl_rvflag,pl_imgflag,pl_astflag,pl_tranflag,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,pl_cbflag,pl_omflag,pl_pelink,pl_edelink,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtpern,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_orblpern,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampn,pl_conrat,pl_conraterr1,pl_conraterr2,pl_conratlim,pl_conratband,pl_conratn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinin,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massn,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insoln,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepn,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurn,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidn,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparn,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepn,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorn,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorn,pl_mrtranmid,pl_mrtranmiderr1,pl_mrtranmiderr2,pl_mrtranmidlim,pl_mrtmrefid,pl_mrtmreflink,pl_mrtsystemref,pl_st_npar,pl_st_nref,rowupdate,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_angsep,pl_angseperr1,pl_angseperr2
0,294.649885,1.7e-05,19.64332567,1.11e-06,19h38m35.97s,43.335587,1.7e-05,+43d20m08.1s,76.553465,2.1e-05,10.408167,1.8e-05,312.287212,3.9e-05,63.201494999999994,2e-05,2,,,,0.0,0,525.0,60.76,-42.07,0.0,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,12.761,0.021,0,12.354000000000001,0.022000000000000002,0,12.267999999999999,0.019,0,12.232000000000001,0.023,0.0,12.3,0.023,0.0,12.364,0.294,0.0,9.097999999999999,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.083,,0,Kepler-band,13,,,,,,,,,,,,,0.40700000000000003,0.03,0,0.086,0.028999999999999998,0,0.493,0.027999999999999997,0,,,,,,,,,,5,,,,0,5476.0,141.55,-156.54,0.0,3,4.52,0.05,-0.1,0.0,3,-0.03,0.14,-0.165,0.0,2,[Fe/H],,,,,0,0.87,0.1,-0.06,0.0,3,0.9,0.05,-0.05,0.0,1,,,,,0,4.57,5.48,-2.88,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-882 b,Kepler-882,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-882_b/,,3.98953967,9.76e-06,-9.76e-06,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.11,0.013000000000000001,-0.008,0.0,1.23,0.15,-0.09,0.0,0.011000000000000001,0.001,-0.001,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.064179,0.002788,-0.002788,0.0,1,2454967.0998,0.00201,-0.00201,0.0,1,JD,,,,,0,,,,,0,,,,,0,0.012629999999999999,0.00064,-0.00033999999999999997,0.0,1,,,,,,,,18,8,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
1,292.584443,1.7e-05,19.50562953,1.11e-06,19h30m20.27s,49.923161,1.7e-05,+49d55m23.4s,81.955625,2e-05,14.603214999999999,1.7e-05,315.73152000000005,4.9e-05,69.800562,2e-05,2,,,,0.0,0,420.0,15.95,-14.26,0.0,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,11.931,0.021,0,11.595,0.017,0,11.547,0.018000000000000002,0,11.467,0.023,0.0,11.513,0.021,0.0,11.544,0.10400000000000001,0.0,9.516,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.069,,0,Kepler-band,13,,,,,,,,,,,,,0.336,0.027000000000000003,0,0.048,0.025,0,0.384,0.027999999999999997,0,,,,,,,,,,5,,,,0,5715.0,62.9,-52.56,0.0,3,4.49,0.02,-0.03,0.0,3,0.05,0.08800000000000001,-0.08800000000000001,0.0,2,[Fe/H],,,,,0,0.94,0.03,-0.03,0.0,3,1.0,0.03,-0.03,0.0,1,,,,,0,2.45,1.66,-0.934,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-884 b,Kepler-884,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-884_b/,,5.69919514,1.359e-05,-1.359e-05,0.0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.11,0.004,-0.004,0.0,1.23,0.05,-0.05,0.0,0.011000000000000001,0.0,-0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,1,0.099492,0.002421,-0.002421,0.0,2,2454969.58754,0.00195,-0.00195,0.0,2,JD,,,,,0,,,,,0,,,,,0,0.01165,0.00032,-0.00028,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
2,288.661559,1.7e-05,19.24410393,1.11e-06,19h14m38.77s,49.737206,1.7e-05,+49d44m13.9s,80.724625,2e-05,16.846556,1.6e-05,308.686854,4.9e-05,70.679885,2e-05,2,,,,0.0,0,632.0,100.88,-67.37,0.0,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,11.833,0.021,0,11.633,0.031,0,11.535,0.021,0,11.536,0.022000000000000002,0.0,11.575999999999999,0.02,0.0,11.613,0.128,0.0,9.537,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.841,,0,Kepler-band,13,,,,,,,,,,,,,0.2,0.037000000000000005,0,0.098,0.037000000000000005,0,0.298,0.03,0,,,,,,,,,,5,,,,0,6187.0,71.23,-58.44,0.0,3,4.26,0.09,-0.11,0.0,3,0.11,0.083,-0.08,0.0,2,[Fe/H],,,,,0,1.35,0.21,-0.14,0.0,3,1.21,0.07,-0.05,0.0,1,,,,,0,3.16,0.62,-1.1,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-885 b,Kepler-885,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-885_b/,,18.11472949,5.308e-05,-5.308e-05,0.0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.223,0.036000000000000004,-0.035,0.0,2.5,0.4,-0.39,0.0,0.023,0.004,-0.004,0.0,1,,,,,0,,,,,0,,,,,0,,,,,1,0.21778699999999998,0.0033710000000000003,-0.0033710000000000003,0.0,2,2454980.49223,0.00255,-0.00255,0.0,2,JD,,,,,0,,,,,0,,,,,0,0.016640000000000002,0.00014,-0.0019100000000000002,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
3,286.271745,1.7e-05,19.084783,1.11e-06,19h05m05.22s,43.595234000000005,1.7e-05,+43d35m42.8s,74.15271800000001,2.1e-05,16.025516,1.8e-05,299.16844199999997,3.9e-05,65.395114,1.9e-05,2,,,,0.0,0,857.0,227.98,-111.91,0.0,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,12.902999999999999,0.022000000000000002,0,12.600999999999999,0.024,0,12.565,0.022000000000000002,0,12.538,0.024,0.0,12.578,0.023,0.0,12.136,0.228,0.0,9.355,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.939,,0,Kepler-band,13,,,,,,,,,,,,,0.302,0.033,0,0.036000000000000004,0.033,0,0.33799999999999997,0.031,0,,,,,,,,,,5,,,,0,6098.0,97.1,-117.8,0.0,3,4.35,0.1,-0.18,0.0,3,-0.01,0.127,-0.191,0.0,2,[Fe/H],,,,,0,1.16,0.32,-0.14,0.0,3,1.1,0.1,-0.08,0.0,1,,,,,0,3.39,1.57,-1.6,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-886 b,Kepler-886,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-886_b/,,6.24146367,2.154e-05,-2.154e-05,0.0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.136,0.037000000000000005,-0.017,0.0,1.52,0.42,-0.19,0.0,0.013999999999999999,0.004,-0.002,0.0,1,,,,,0,,,,,0,,,,,0,,,,,1,0.12821300000000002,0.00295,-0.00295,0.0,2,2454967.88704,0.00286,-0.00286,0.0,2,JD,,,,,0,,,,,0,,,,,0,0.012029999999999999,0.00047999999999999996,-0.0002,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
4,290.090807,1.9e-05,19.33938711,1.3e-06,19h20m21.79s,39.816989,1.7e-05,+39d49m01.2s,71.79248,2.2e-05,11.88437,2.1e-05,302.94664500000005,3.9e-05,60.978364,2e-05,2,,,,0.0,0,831.0,118.63,-74.76,0.0,1,-14.4,,0.0,-3.0,,0.0,14.7,,0.0,1,,,,,0,,,,,,,,,,,,,,,,12.539000000000001,0.023,0,12.27,0.021,0,12.241,0.023,0,12.214,0.023,0.0,12.24,0.022000000000000002,0.0,12.103,0.247,0.0,9.447000000000001,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47,,0,Kepler-band,13,,,,,,,,,,,,,0.26899999999999996,0.031,0,0.028999999999999998,0.031,0,0.298,0.033,0,,,,,,,,,,5,,,,0,6194.0,62.11,-49.68,0.0,3,4.29,0.08,-0.1,0.0,3,0.08,0.079,-0.077,0.0,2,[Fe/H],,,,,0,1.29,0.19,-0.12,0.0,3,1.19,0.05,-0.04,0.0,1,,,,,0,3.09,0.65,-1.21,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-887 b,Kepler-887,b,2,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-887_b/,,20.42228798,9.225e-05,-9.225e-05,0.0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.16399999999999998,0.024,-0.015,0.0,1.84,0.27,-0.17,0.0,0.017,0.002,-0.002,0.0,1,,,,,0,,,,,0,,,,,0,,,,,1,0.258,0.00454,-0.00454,0.0,2,2454979.98328,0.00373,-0.00373,0.0,2,JD,,,,,0,,,,,0,,,,,0,0.012629999999999999,0.00039,-0.00023999999999999998,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
5,290.090807,1.9e-05,19.33938711,1.3e-06,19h20m21.79s,39.816989,1.7e-05,+39d49m01.2s,71.79248,2.2e-05,11.88437,2.1e-05,302.94664500000005,3.9e-05,60.978364,2e-05,2,,,,0.0,0,831.0,118.63,-74.76,0.0,1,-14.4,,0.0,-3.0,,0.0,14.7,,0.0,1,,,,,0,,,,,,,,,,,,,,,,12.539000000000001,0.023,0,12.27,0.021,0,12.241,0.023,0,12.214,0.023,0.0,12.24,0.022000000000000002,0.0,12.103,0.247,0.0,9.447000000000001,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47,,0,Kepler-band,13,,,,,,,,,,,,,0.26899999999999996,0.031,0,0.028999999999999998,0.031,0,0.298,0.033,0,,,,,,,,,,5,,,,0,6194.0,62.11,-49.68,0.0,3,4.29,0.08,-0.1,0.0,3,0.08,0.079,-0.077,0.0,2,[Fe/H],,,,,0,1.29,0.19,-0.12,0.0,3,1.19,0.05,-0.04,0.0,1,,,,,0,3.09,0.65,-1.21,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-887 c,Kepler-887,c,2,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-887_c/,,7.63846023,4.957e-05,-4.957e-05,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.10099999999999999,0.015,-0.01,0.0,1.13,0.17,-0.11,0.0,0.01,0.002,-0.001,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.16546,0.0065,-0.0065,0.0,1,2454971.24467,0.00535,-0.00535,0.0,1,JD,,,,,0,,,,,0,,,,,0,0.008190000000000001,0.00026000000000000003,-0.00039,0.0,1,,,,,,,,18,8,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
6,295.521206,1.7e-05,19.70141373,1.11e-06,19h42m05.09s,49.738632,1.7e-05,+49d44m19.1s,82.64021600000001,2e-05,12.820005,1.7e-05,320.254316,4.8e-05,68.76841800000001,2e-05,2,,,,0.0,0,413.0,14.13,-13.3,0.0,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,11.915,0.019,0,11.657,0.019,0,11.594000000000001,0.019,0,11.545,0.022000000000000002,0.0,11.573,0.02,0.0,11.398,0.126,0.0,9.325,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.046,,0,Kepler-band,13,,,,,,,,,,,,,0.258,0.027000000000000003,0,0.063,0.027000000000000003,0,0.321,0.027000000000000003,0,,,,,,,,,,5,,,,0,5875.0,66.36,-56.7,0.0,3,4.52,0.01,-0.01,0.0,3,-0.21,0.096,-0.098,0.0,2,[Fe/H],,,,,0,0.9,0.03,-0.03,0.0,3,0.97,0.03,-0.03,0.0,1,,,,,0,1.48,0.644,-0.3,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-888 b,Kepler-888,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-888_b/,,70.6979061,0.0003086,-0.0003086,0.0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.157,0.006999999999999999,-0.005,0.0,1.76,0.08,-0.06,0.0,0.016,0.001,-0.001,0.0,1,,,,,0,,,,,0,,,,,0,,,,,1,0.276,0.00421,-0.00421,0.0,2,2455021.57029,0.00361,-0.00361,0.0,2,JD,,,,,0,,,,,0,,,,,0,0.018019999999999998,0.00053,-0.00032,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
7,291.467319,1.9e-05,19.4311546,1.3e-06,19h25m52.16s,50.759489,1.7e-05,+50d45m34.2s,82.437894,2.1e-05,15.598660999999998,1.8e-05,314.934078,5.6000000000000006e-05,70.86626700000001,2e-05,2,,,,0.0,0,513.0,90.07,-58.09,0.0,1,6.0,,0.0,14.0,,0.0,15.2,,0.0,1,,,,,0,,,,,,,,,,,,,,,,11.64,0.021,0,11.384,0.017,0,11.327,0.018000000000000002,0,11.109000000000002,0.022000000000000002,0.0,11.155,0.02,0.0,11.186,0.078,0.0,9.786,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71,,0,Kepler-band,13,,,,,,,,,,,,,0.256,0.027000000000000003,0,0.057,0.025,0,0.313,0.027999999999999997,0,,,,,,,,,,5,,,,0,5961.0,75.23,-59.95,0.0,3,4.3,0.1,-0.12,0.0,3,0.19,0.08,-0.084,0.0,2,[Fe/H],,,,,0,1.25,0.22,-0.14,0.0,3,1.14,0.07,-0.05,0.0,1,,,,,0,3.98,1.14,-1.7,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-889 b,Kepler-889,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-889_b/,,3.744439,1.366e-05,-1.366e-05,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.09699999999999999,0.017,-0.012,0.0,1.09,0.19,-0.13,0.0,0.01,0.002,-0.001,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.12288299999999999,0.003604,-0.003604,0.0,1,2454966.5606299997,0.00294,-0.00294,0.0,1,JD,,,,,0,,,,,0,,,,,0,0.007909999999999999,0.00022999999999999998,-0.00031,0.0,1,,,,,,,,18,8,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
8,288.435745,1.7e-05,19.22904967,1.11e-06,19h13m44.58s,43.763496,1.7e-05,+43d45m48.6s,74.949212,2.1e-05,14.651637,1.8e-05,302.86830699999996,3.9e-05,65.112892,2e-05,2,,,,0.0,0,1387.0,439.65,-168.91,0.0,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,14.057,0.025,0,13.808,0.025,0,13.665,0.036000000000000004,0,13.708,0.024,0.0,13.755999999999998,0.028999999999999998,0.0,12.344000000000001,,-1.0,9.413,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.182,,0,Kepler-band,13,,,,,,,,,,,,,0.249,0.035,0,0.14300000000000002,0.044000000000000004,0,0.392,0.044000000000000004,0,,,,,,,,,,5,,,,0,5954.0,84.71,-101.27,0.0,3,4.37,0.1,-0.21,0.0,3,0.09,0.152,-0.166,0.0,2,[Fe/H],,,,,0,1.13,0.36,-0.14,0.0,3,1.09,0.1,-0.07,0.0,1,,,,,0,3.63,1.88,-1.88,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-890 b,Kepler-890,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-890_b/,,52.75875577,3.345e-05,-3.345e-05,0.0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.7929999999999999,0.255,-0.095,0.0,8.89,2.86,-1.06,0.0,0.081,0.026000000000000002,-0.01,0.0,1,,,,,0,,,,,0,,,,,0,,,,,1,0.275283,0.000962,-0.000962,0.0,2,2454989.30675,0.000534,-0.000534,0.0,2,JD,,,,,0,,,,,0,,,,,0,0.07171,0.00037999999999999997,-0.00021,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
9,294.441763,1.9e-05,19.62945087,1.3e-06,19h37m46.02s,40.557587,1.7e-05,+40d33m27.3s,73.986281,2.2e-05,9.249239,2.1e-05,309.901567,4e-05,60.655227000000004,2.1e-05,2,,,,,0,,,,,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,13.243,0.024,0,12.75,0.033,0,12.626,0.033,0,12.464,0.023,0.0,12.54,0.024,0.0,12.212,0.267,0.0,9.203,0.41700000000000004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84,,0,Kepler-band,13,,,,,,,,,,,,,0.493,0.040999999999999995,0,0.124,0.047,0,0.617,0.040999999999999995,0,,,,,,,,,,5,,,,0,4731.0,100.0,-100.0,0.0,4,4.63,0.15,-0.15,0.0,4,0.523,,,0.0,2,[Fe/H],,,,,0,0.69,0.04,-0.04,0.0,4,0.8,,,0.0,2,,,,,0,,,,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-304 e,Kepler-304,e,4,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-304_e/,,1.49914695,2.8e-06,-2.8e-06,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.107,0.005,-0.003,0.0,1.2,0.06,-0.03,0.0,0.011000000000000001,0.001,-0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.060087,0.00215,-0.00215,0.0,1,2454966.06857,0.0015,-0.0015,0.0,1,JD,,,,,0,,,,,0,,,,,0,0.014669999999999999,0.0006900000000000001,-0.0003,0.0,1,,,,,,,,22,9,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,
