RA_d,DEC_d
57.493054,23.709433
55.92554,24.57317
56.867121,23.448233
56.2720158,23.7026781
55.240354,25.482961
56.443638,23.795361
54.763739,25.805288
56.127079,25.594317
56.4454,23.88349
56.51208513,24.52789809
58.1935,24.56144
55.70067,24.06708
56.76979,25.38061
57.56358,24.22675
55.75521,24.24792
56.424417,24.431517
57.38662,25.79644
55.9950087,23.8827353
57.468412,24.062033
57.09967,23.13569
57.52729,24.99631
58.55421,23.3475
55.93133,24.21397
56.986,26.53092
57.49012,23.72458
57.66375,25.39378
56.38875,23.576194
55.154392,26.085086
57.357165,24.9376317
56.224304,23.921267
56.315908,25.110261
54.614619,25.505075
56.31704,23.58536
56.07942,24.58847
58.58842,23.39697
56.114221,25.866028
56.95996,23.91333
58.6818433,26.5188342
56.185159,22.931032
56.157412,22.921039
56.165275,22.113311
57.995507,23.403664
57.444167,26.079686
56.08546,24.77286
55.229332,22.349735
56.824686,24.375475
56.49125,24.14478
55.90383,24.39394
58.251085,25.669048
56.95737,24.42872
57.275158,24.398108
56.9503712,23.2180878
55.43308,25.05847
56.23617,23.60661
56.99155,23.990142
56.84096,25.89792
58.99512,24.96117
55.791242,25.414672
54.821,22.45308
57.37417,23.64878
56.300619,23.36479
54.239443,24.329987
57.04242,23.00114
55.311975,26.150728
54.905987,23.207311
55.89246,25.03794
56.0147308,24.5042425
56.430762,22.401103
55.564008,23.191997
55.829181,22.786299
56.85746,25.14253
56.54892,24.62231
55.129833,25.148058
55.995925,25.982411
58.38063,26.52808
55.817089,24.3745
56.51896,24.16558
56.53488,23.3475
58.309412,26.876017
56.355252,22.708623
57.384,23.27172
57.918529,24.983189
56.998958,22.641808
56.85558,24.04917
55.94983,25.05319
56.013604,24.131844
54.54279,25.19256
56.29504,23.04956
54.02217,25.35106
55.21358,23.59844
54.342665,24.904543
56.284912,22.804161
56.6331042,22.1718192
56.989992,26.629278
56.7288513,24.7963483
58.88675,23.31894
56.34246,23.47172
57.25475,23.63772
56.887192,21.530286
56.84321,24.23858
57.15137,25.26153
57.66213,23.21747
55.81913,23.83383
56.53621,24.67592
56.5749629,23.4866692
56.74749219,24.52012468
57.90171,25.228
55.2952,24.992828
56.894317,21.787486
55.67458,24.19953
56.76979,25.38061
55.91263,23.73486
57.39546,23.45469
58.1845,23.90422
56.388067,26.612408
56.25471,24.778107
57.385558,23.928514
54.81971,24.96072
55.9155,23.69242
58.220843,21.781883
57.256734,24.90844
57.141591,24.082962
56.325585,25.099545
54.59407919,22.49968483
57.34379,21.63233
57.459437,26.754947
56.811708,25.371769
56.49663,23.81306
57.2988987,24.6365875
56.908608,24.891842
57.84921,22.84147
56.96646,23.66342
56.663412,21.550817
56.58529,24.78547
57.312981,24.606302
55.40068423,25.61931671
57.995077,24.667963
59.109163,23.784319
56.91254,24.60631
56.213532,23.572441
56.690108,24.341675
57.554013,24.628692
55.93213,24.48772
55.62292,22.39611
56.397483,24.083211
57.09967,23.13569
56.49496,26.33389
57.91279,23.36794
57.26233,21.91311
56.585805,22.983062
57.026708,24.114361
56.64963,23.96703
56.082,23.89608
57.7816,25.4084469
57.210146,22.741736
56.641704,24.588992
55.020942,25.5269
54.93658,22.65433
58.50488,25.33106
55.73558,24.08281
56.51646,24.38583
57.390067,22.983925
56.183017,25.4992
55.7517517,26.7805364
55.96729,24.84161
57.7928,25.241653
55.9025,23.45394
56.001117,24.556994
55.67438,24.00439
57.34225,25.79386
55.062072,25.321938
54.510404,25.343019
57.90171,25.228
57.328242,25.564719
56.88333,24.17361
56.78283,24.39386
56.542,26.00258
56.751482,23.880096
56.58913,23.08592
57.17783,24.45547
57.042483,27.050667
58.191896,21.599078
57.02767,24.00194
56.793962,23.906027
56.884094,23.306549
55.281587,25.934439
55.7985,24.114633
55.974833,21.973444
57.275037,26.292875
56.80637,23.71431
57.259726,23.252455
56.941293,24.633755
55.48538,27.04953
57.295958,24.3476
55.079146,24.491092
57.36517,24.53175
56.9335,24.06572
55.215865,23.230789
57.29683,22.17681
56.90688,24.4065
57.067,23.58767
58.13888,23.85194
56.94967,22.55556
57.26775,21.513444
57.42375,21.93875
56.645784,23.520664
58.02796,24.26692
54.680403,25.374271
54.9738396,26.7169833
56.892334,21.74681
55.629563,24.990283
56.2720158,23.7026781
55.67458,24.19953
55.362,24.01736
57.97467,24.04769
57.13262,24.03306
55.02488,25.67256
58.29229,23.05303
56.74712,24.02858
55.67154,24.02861
56.64963,23.96703
57.42221,26.14822
56.24550514,22.03245212
54.59742,23.10811
55.04596,25.39081
55.98204,24.42639
56.77375,24.66772
53.771071,24.512192
57.02071,23.40383
57.3200067,24.3961322
56.435571,24.7139
57.485392,23.218619
56.58529,24.78547
56.59595,24.605059
58.55904,25.632661
54.44787,24.89619
57.068683,22.291569
57.361661,24.530271
56.524183,21.462787
57.21042,24.14094
58.07267,25.10336
55.10996,24.08994
57.31837,24.06367
58.00683,25.02486
54.773272,24.211512
55.343746,25.264172
56.30206575,24.46728048
56.88942,23.69253
56.60575,24.16014
56.213532,23.572441
56.517883,23.928017
57.912243,24.512547
57.09438,22.87269
55.42667,23.91594
55.619373,25.016804
56.799104,24.225412
56.63392,24.38739
58.54783,25.31194
57.41405,24.710261
55.67154,24.02861
57.13138,24.57708
56.5346,22.179814
57.8248329,26.3683761
56.89671,25.54397
56.2772458,24.2635197
56.52771,22.39272
56.5418379,23.3400183
56.58271,24.98378
55.704593,24.171024
56.134,25.13683
57.53504,25.54892
55.767458,22.800989
56.71917,23.64539
55.62258,22.79061
57.626492,26.833289
56.234621,24.8052
57.27021,23.561
57.23767,26.61503
58.05546,26.14364
57.13442,25.71583
55.041075,22.50111
57.400446,23.939839
57.55108,23.99592
56.47698703,24.55451227
59.60471,24.01636
55.651109,23.368023
56.610917,22.553192
55.8745,24.65658
54.15996,23.14569
54.031879,24.74475
57.838422,25.635659
57.243683,23.201169
58.086031,24.565491
57.61592,23.06536
57.16912,25.02228
56.91854,24.36458
56.116962,25.045928
56.46912,25.91669
55.859151,26.041912
57.05958,24.26417
56.656658,21.833772
56.5528725,23.1285411
57.036745,25.029398
54.262927,23.958908
57.105108,23.636308
55.51596,24.71261
58.389975,25.592811
54.936613,25.295475
55.7296513,24.4930772
54.31963,25.7365
57.964797,21.821417
54.95208,23.76783
57.17783,24.45547
57.771488,27.092789
55.52588,25.07528
55.577792,27.0559
56.78062,23.36556
55.51729,22.28086
55.937357,23.05592
57.514629,24.768781
55.92305703,23.64914727
56.756196,22.462161
56.58558,24.28869
56.049133,25.398247
58.74179,25.2415
57.6811675,26.0412975
57.51767,23.17908
55.80442,24.65542
56.58083,23.01553
57.36975,23.71225
57.298625,26.671183
57.18617,24.62325
55.24692,25.19872
55.67546,25.19692
57.82858,26.0525
56.80033,24.47556
58.065375,22.758275
56.65529,24.34353
57.720596,22.788386
56.0147308,24.5042425
56.400516,25.275122
55.3075,23.38494
58.28033,25.78936
55.89225,25.59061
56.87467,23.55422
57.109025,24.048444
56.362178,23.114709
55.95421,25.72961
54.69058,24.46778
57.0703125,25.2151231
57.081942,23.722686
57.28921,23.94611
56.78962,23.43239
57.84954,25.09803
55.98621,25.26228
55.12329,23.55111
57.10342,22.40731
56.66408,24.02969
56.47725,24.25267
56.861511,23.634094
58.237338,22.433761
55.7296513,24.4930772
58.459429,25.964636
56.19225,24.38419
54.76375,26.492
57.18929,23.33894
58.56367,25.16453
57.451812,22.180164
55.863021,25.387578
54.9234575,24.3064083
54.980006,24.215099
59.048575,22.098003
56.77825,23.715169
56.920598,21.818153
56.25504,25.35164
56.867837,24.466475
57.56146,25.42506
55.97446,25.47506
55.793908,23.256825
53.794917,24.055883
59.0532767,25.7620767
55.8005,24.74592
57.38004,23.68886
56.11454,24.23814
56.86842,24.67592
58.24642,24.90153
56.263658,23.839394
58.05492,26.19603
58.95542,24.89656
56.602554,26.158222
56.669121,22.367735
57.34062184,24.38095368
56.3140013,25.2894672
56.281629,21.995978
57.04242,23.00114
58.65562,23.22583
57.274371,23.739812
56.09221,23.18197
56.662042,24.520319
58.78737,24.08414
58.18529,24.34989
56.31938,24.57569
57.06817,26.335
57.564225,22.77232
55.149462,26.151422
57.73925,24.10861
55.47358,23.45803
56.064008,26.331225
56.615367,23.812694
54.93042,23.20711
55.651109,23.368023
57.02425,23.03419
56.2720158,23.7026781
56.04479,25.62733
56.54892,24.62231
56.448017,26.446439
56.24408,23.92806
57.36621,26.5135
57.91279,23.36794
54.5085,24.33761
56.435042,24.220336
56.7239896,23.5835603
56.493667,23.698306
56.63409,24.8705633
55.781,25.26664
56.99175,22.11419
58.60429,24.71214
55.51192,24.21011
56.05054,23.87708
58.56996,22.00467
57.17071,23.23825
56.45806,23.329163
57.72767,24.36558
57.40125,26.03794
57.587079,24.466756
58.405487,25.979625
58.02775,22.02075
59.109163,23.784319
58.87871,23.39756
56.577238,23.984142
56.31338,27.07889
57.269732,23.445444
56.55358,24.05439
58.99329,24.54994
57.2905941,24.05341675
57.09846,24.37647
53.879812,23.852873
58.108,21.84219
55.21358,23.59844
56.799104,24.225412
56.81371,25.11542
55.93133,24.21397
57.055448,23.979752
55.79058,24.6925
57.62204,24.94303
58.46854,22.62617
56.78929,23.74219
56.338283,23.7275
56.89375,24.03975
55.53683,23.58811
55.773034,24.824606
57.07335,22.067031
58.135708,24.743511
58.07308,24.45547
57.10513,24.24061
57.986929,23.901967
57.414142,23.290117
56.80692,23.83153
56.224304,23.921267
57.925375,21.668342
56.615737,23.5927
57.214775,24.204831
55.49888,26.46111
57.56146,25.42506
54.81971,24.96072
58.14358,22.50217
56.67992,23.62283
57.714342,23.329203
56.89233,25.71839
56.73042,23.38044
57.40929,26.85167
55.81555,25.341558
55.9525,23.53939
56.45392,23.85289
57.33617,24.87653
54.381517,22.994669
59.45567,22.14206
55.86238,24.45275
55.685239,23.971001
59.40029,23.93125
59.64238,22.66986
56.10663,24.68136
57.8397567,25.6353911
55.35979,23.13417
57.391484,22.276731
56.881819,23.872055
56.850477,22.886528
55.194842,24.2155
55.57454,24.11606
56.70504,24.60003
57.48117,24.10144
56.96367,23.73669
56.093542,23.650361
59.249583,24.093194
56.25504,25.35164
57.36975,23.71225
56.822487,24.509469
57.42375,21.93875
56.37496,26.43656
57.6811675,26.0412975
57.493054,23.709433
56.39996,24.50022
55.906942,25.331703
56.068531,23.617867
