RA_d,DEC_d
287.9471133,-16.5468581
288.743363,-16.835844
288.79817,-17.44191
289.10421,-16.533854
289.153338,-16.38423
288.4020454,-15.8029458
289.1697267,-16.278075
288.937942,-16.387761
289.1906158,-16.5896508
289.073223,-16.004938
289.139342,-16.130978
289.6300479,-16.2450881
289.155519,-16.001394
288.6104954,-16.1094894
289.150859,-16.126753
288.785858,-16.961475
289.122267,-16.765153
289.134658,-16.192967
288.8867971,-16.3441367
289.3326779,-16.1273267
289.3492954,-16.2135817
289.2009646,-16.1978767
289.024572,-16.496698
289.036625,-15.407797
289.5022929,-16.6004631
289.021811,-16.882259
289.268088,-16.388508
289.077696,-16.191825
288.553934,-15.908106
288.889778,-16.426897
289.1828737,-16.4400381
289.15945,-16.417744
288.9637429,-16.29975
289.0904171,-16.1642092
288.788567,-15.873344
289.146867,-17.085444
289.110701,-16.248484
288.3425308,-16.7527208
289.032749,-16.176687
289.187346,-17.285392
289.184077,-16.206186
288.7615029,-16.1612647
289.34935288,-16.0734323
289.261903,-16.087959
288.850371,-16.364475
289.25536,-16.161777
288.839225,-16.002987
289.1657183,-16.4421461
288.617379,-16.333961
288.802475,-17.086728
288.430606,-16.819712
289.6561267,-17.2159911
289.228229,-17.036936
289.372532,-16.199373
288.716637,-15.693878
289.5599929,-16.6896222
288.8124825,-17.3382169
289.046713,-16.363476
288.421944,-16.172268
288.31361781,-17.10579609
288.8142217,-16.3310061
289.907481,-16.308689
289.270067,-16.614608
288.3142004,-16.2700892
289.196883,-16.069253
288.9011108,-15.9628058
288.752125,-16.240161
289.205142,-16.222908
288.206605,-15.842793
288.5113925,-15.9015994
290.0217187,-15.5933789
289.091831,-15.771107
289.0819017,-16.5692869
289.5407658,-16.2728761
289.2362521,-16.207345
289.890546,-16.980967
289.247537,-16.590866
289.232262,-16.056119
289.1943125,-16.3224992
288.6211008,-15.8182408
289.2971329,-16.0522928
289.185025,-16.259407
289.3405029,-15.5997783
288.438041,-16.326117
288.85882082,-16.09918457
288.750529,-16.097704
289.153033,-17.219547
289.3693917,-16.5587175
289.4138113,-16.6096531
289.556366,-16.247124
288.927867,-16.551375
289.0360404,-16.1874456
289.103235,-17.177109
289.9647937,-16.0662314
289.0187975,-16.0920569
288.852738,-16.856225
288.85993,-17.0044331
288.874187,-15.851353
288.9934521,-16.2571403
289.264305,-17.0538269
289.0606733,-16.4020186
288.4507517,-16.8350578
289.1391042,-16.3393458
289.522362,-16.778856
289.391774,-16.871597
289.548154,-16.48725
288.829033,-16.656783
289.241704,-16.241092
