RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
74.27709,31.71403,HD 282600,K2,1.0,4760.0,10.72,1.62,,,0.943,2.28,0.57,0.34,0.9,0.4,0.7,4.36,0.63,,,"a,f",Simbad,74.27709,31.71403
73.99744,30.56709,HD 282624,G8,2.0,5210.0,9.15,0.89,8.1,1.05,0.823,2.21,0.25,0.21,3.1,1.0,1.8,3.16,0.42,2.661,2,a,Simbad,73.99744,30.56709
65.48921,28.44321,RY Tau,K1,1.0,4920.0,10.22,1.03,8.8,1.42,0.729,2.16,0.16,0.15,2.1,0.8,1.3,3.19,0.42,5.6,2,a,Simbad,65.48921,28.44321
65.4952,28.30181,HD 283572,G5,1.0,5500.0,9.03,0.81,8.1,0.93,0.824,1.98,0.25,0.19,5.0,1.2,2.6,2.84,0.35,1.55,3,a,Simbad,65.4952,28.30181
71.22689,27.2959,HD 283782,K1,0.8,4920.0,9.62,0.84,8.58,1.04,0.58,1.95,0.15,0.13,3.1,1.1,1.4,2.68,0.34,,,"a,f",Simbad,71.22689,27.2959
71.46374,15.93047,HD 30171,G5,1.0,5500.0,9.26,0.75,8.36,0.9,0.702,1.74,0.17,0.23,7.1,2.2,2.4,2.47,0.3,1.104,3,a,Simbad,71.46374,15.93047
60.12945,19.58913,HD 285281,K1,0.8,4920.0,10.21,0.94,9.12,1.09,0.395,1.69,0.15,0.14,4.9,1.6,2.1,2.17,0.27,1.1683,,"a,g",Simbad,60.12945,19.58913
73.79576,30.36654,GM Aur,K3,1.0,4550.0,12.03,1.19,9.69,2.34,0.872,1.69,0.53,0.53,0.6,0.2,0.5,4.39,0.66,12.0,2,,Simbad,73.79576,30.36654
74.32357,15.4193,HD 286178,K1,0.8,4920.0,10.3,0.95,9.13,1.08,0.385,1.68,0.15,0.13,4.9,1.6,2.4,2.14,0.27,1.72,,"a,g",Simbad,74.32357,15.4193
66.20428,26.71954,HD 283641,K0,0.8,5030.0,11.34,1.32,,,0.408,1.67,0.16,0.15,5.7,1.5,2.3,2.11,0.25,,,"a,f",Simbad,66.20428,26.71954
68.66363,25.01696,V1110 Tau,K0,1.0,5030.0,10.09,0.89,,,0.376,1.62,0.16,0.16,6.3,1.7,2.7,2.03,0.25,3.039,3,a,Simbad,68.66363,25.01696
61.33164,20.1571,V1298 Tau,K1,0.8,4920.0,10.38,0.88,9.36,1.02,0.256,1.51,0.17,0.13,6.9,2.2,3.6,1.85,0.23,2.86,,"a,g",Simbad,61.33164,20.1571
69.66279,15.77045,HD 285957,K1,0.8,4920.0,10.72,0.93,9.6,1.12,0.222,1.46,0.15,0.14,7.7,2.6,3.3,1.78,0.22,3.0789,,"a,g",Simbad,69.66279,15.77045
73.904,30.29866,HD 282630,K0,0.8,5030.0,10.85,1.02,9.68,1.17,0.232,1.43,0.17,0.14,8.9,2.2,4.6,1.72,0.21,2.2393,3,a,Simbad,73.904,30.29866
62.29058,29.0251,HD 281691,K1,0.8,4920.0,10.65,0.85,9.6,1.05,0.178,1.41,0.16,0.13,8.6,2.7,3.9,1.69,0.21,2.662,,"a,g",Simbad,62.29058,29.0251
73.79009,18.44198,HD 31281,G1,0.8,5970.0,9.22,0.62,,,0.571,1.37,0.07,0.1,15.0,3.0,3.5,1.8,0.21,,,"a,f",Simbad,73.79009,18.44198
61.41908,22.80334,V1299 Tau,G3,0.8,5740.0,9.33,0.61,8.61,0.72,0.506,1.36,0.09,0.14,14.0,3.5,4.0,1.81,0.22,0.816,,"a,g",Simbad,61.41908,22.80334
66.79405,17.84518,V1072 Tau,K0,0.8,5030.0,10.34,0.79,9.45,0.89,0.174,1.34,0.13,0.16,10.5,2.8,5.0,1.61,0.19,2.74,3,a,Simbad,66.79405,17.84518
67.70494,21.23631,V1319 Tau,G8,0.8,5210.0,10.26,0.65,9.38,0.88,0.205,1.3,0.16,0.13,13.0,3.3,6.5,1.55,0.18,0.736,,"a,g",Simbad,67.70494,21.23631
69.82415,22.35097,V1079 Tau,K3,1.0,4550.0,12.41,1.37,10.79,1.62,-0.018,1.26,0.18,0.09,7.0,3.5,6.0,1.58,0.24,5.85,2,a,Simbad,69.82415,22.35097
63.84549,20.73803,HD 284266,K0,0.8,5030.0,10.56,0.73,9.68,0.88,0.082,1.23,0.12,0.15,13.5,3.8,6.5,1.45,0.17,1.812,,"a,g",Simbad,63.84549,20.73803
68.1768,18.91951,HD 285840,K1,0.8,4920.0,10.81,0.82,,,0.022,1.21,0.14,0.14,13.5,4.3,8.0,1.41,0.18,1.561,,"a,g",Simbad,68.1768,18.91951
63.57085,28.18273,CW Tau,K3,1.0,4550.0,13.34,1.37,11.42,1.92,-0.083,1.21,0.11,0.09,9.0,4.5,7.0,1.46,0.22,8.2,2,a,Simbad,63.57085,28.18273
60.85395,17.40721,HD 285372,K3,0.8,4550.0,11.69,1.07,10.43,1.26,-0.098,1.2,0.11,0.08,9.5,4.1,6.5,1.44,0.2,0.574,,"a,g",Simbad,60.85395,17.40721
