RA_d,DEC_d
250.07467863,-23.89588297
238.222463,-15.077822
238.62545757,-27.3386381
234.75023653,-19.73255824
242.819287,-19.652875
246.914754,-22.756417
238.82327071,-23.36770863
248.97063689,-28.21601709
243.1687725,-18.9911492
246.08881387,-25.02540261
239.71297183,-26.11410794
235.3800392,-25.3434311
238.7494483,-23.7883778
242.825542,-17.957972
246.08881387,-25.02540261
239.5529363,-23.4768061
239.71297183,-26.11410794
244.243833,-15.531594
240.979017,-20.527328
244.583223,-20.093
243.6673336,-20.23417116
242.72960957,-25.52268484
237.337517,-26.001739
238.450317,-17.675942
244.0913302,-28.16402067
245.97441259,-29.77780835
242.633129,-19.218356
246.46107868,-26.56842342
249.54504531,-29.67790315
240.88927234,-30.13704511
240.08335535,-22.62170643
239.392937,-23.353422
240.543558,-22.691122
247.35191542,-26.43200261
241.594921,-20.190078
241.99154,-20.66908
240.4926033,-20.1366653
239.826633,-22.178647
243.09096984,-19.57904584
238.159446,-16.370928
243.4492233,-27.7927519
240.501629,-22.356594
244.8718438,-21.40368799
246.077504,-28.913197
241.766408,-19.192742
243.79353312,-22.11943678
242.787117,-19.079683
242.18216819,-23.68541528
243.150207,-27.38422
244.8718438,-21.40368799
239.585654,-18.623556
250.5321079,-30.6438636
242.98133014,-21.10499969
245.987237,-33.200933
244.5460946,-29.1868631
242.14642369,-20.75823662
238.34135725,-21.97129249
241.00099514,-19.76747881
239.999812,-22.343547
244.0748,-23.663244
242.60564769,-23.10649846
237.777533,-24.038619
239.698837,-17.966578
239.653804,-22.954236
242.420779,-22.299844
245.291011,-25.592513
243.37205,-23.185428
245.20930281,-22.59411068
244.90770926,-26.87527695
246.39632359,-23.44717083
239.6452765,-24.83148966
245.01658455,-20.04486851
246.75597912,-18.45624827
242.04376865,-23.85066658
239.54736956,-14.27935817
233.81710596,-25.73416848
240.356767,-22.677869
245.986317,-33.199397
244.66309849,-21.5928495
241.35929993,-19.80545278
245.3381197,-22.1089621
239.533963,-24.098053
242.04376865,-23.85066658
245.11721356,-21.50902506
244.24486159,-21.30413421
246.80217424,-27.18942105
243.62035052,-21.10763485
243.884171,-20.173253
245.5829551,-24.36338027
252.30089734,-22.71157264
237.49910688,-25.1509887
241.35929993,-19.80545278
236.930483,-18.320944
240.111246,-20.942114
249.34030894,-30.11448939
243.584579,-19.113372
239.6452765,-24.83148966
246.75597912,-18.45624827
244.9607425,-33.9126097
243.261329,-22.9624
243.23056286,-23.32936171
240.169038,-22.008953
243.89405,-22.711814
242.18195058,-25.37683395
244.21093941,-25.86297582
239.49726894,-31.72893145
240.5179,-20.845158
242.880842,-18.64015
243.72262578,-25.47697505
246.0120589,-25.41500535
240.0032296,-25.1617817
246.2912946,-30.7992469
237.74476884,-25.75129581
240.283383,-21.2218
244.980546,-15.723064
242.835742,-18.348597
235.278254,-26.940625
238.75152286,-19.3829202
240.501629,-22.356594
241.81219647,-17.93603278
238.9533817,-25.2066631
246.320419,-23.367517
